result,source_milestone,paper,target_section,artifact_path
"DP noise-multiplier sweep: block precision perfect through sigma=1.0, real threshold not smooth trade-off (0.834@sigma=2, 0.584@sigma=4); compliance-based version of the same sweep is non-monotonic with sign flips (second independent instance of the metric-masking finding)",M3,A,Privacy layer / Evaluation Safeguards,docs/PAPER5_M3_fl_dp.md
"zCDP (epsilon,delta) bound computed via Gaussian-mechanism composition, reported alongside sigma as a conservative non-subsampled bound",M3,A,Privacy layer,docs/PAPER5_M3_fl_dp.md
"Privacy threshold's exact LOCATION (not its existence) shifts between independent seed samples -- per-seed block counts are non-monotonic in sigma",M3,A,Privacy layer (stated as a limit),docs/PAPER5_M3_privacy_threshold_location.md
"FedProx null result: bit-identical to FedAvg at mu in {0.01,0.1,1.0}, both homogeneous and (later-discovered genuine) heterogeneous load, root-caused to real per-round client drift being too small (0.03% of TD loss) even at 10x round length (1.44%)",M7,A,FL coordinator,docs/PAPER5_M7_heterogeneity.md
"Disruption campaign: dropout and churn costs accelerate with severity (super-linear) for every arm at every severity tested; demand spike does not threshold on block precision (volume-invariant), only inflates raw reward via denominator dilution",M4,A,Disruption Resilience,docs/PAPER5_M4_disruption.md
"Independent-DQN churn-immunity claim RETRACTED after independent-seed replication: originally read as immune (p=0.065-0.106 on seeds 900-909), replication (seeds 1000-1009) shows significant cost at every severity, larger than GAT-CTDE's -- reported as the corrected reading, not the retracted one",M4,A,Disruption Resilience / Evaluation Safeguards (reproduction-vs-replication),docs/PAPER5_M4_disruption.md; docs/PAPER5_REPLICATION_FINDINGS.md
"Formal paired GAT-CTDE-vs-independent-DQN disruption-cost test: significant only at dropout's mildest severity (+0.0135, p=0.0059); every other cell (dropout 30/60%, churn all severities) not significant -- reported as a narrow, real effect, not a general coordination-cost claim",M4,A,Disruption Resilience,docs/PAPER5_M4_disruption.md
"Cluster-size scaling N=3->7->19: single-agent DQN totally collapses at N=19 (15/15); GAT-CTDE collapse rate converges to 35.4% [25.5%,45.8%] pooled across 3 independent samples (64 seeds) after two disagreeing small-sample estimates (31% vs 78%); independent DQN never fully collapses but sits in a mediocre 0.29-0.49 precision band",M6,A,Cluster-Size Scaling,docs/PAPER5_M6_topology.md (parts 1-12)
"N=19 collapse-resistance signal confirmed via direct Q-value probe after finding and fixing a real config bug in the scaling setup; result strengthens, not weakens, after the fix",M6,A,Cluster-Size Scaling,docs/PAPER5_M6_topology.md part 4-5
"Recalibrated-simulator (RealisticServedKpmSource) re-run of the topology campaign at N=19: both headline comparisons (single-agent total collapse, GAT-CTDE's 35.4%) hold up statistically unchanged; independent-DQN's 'never fully collapses' claim softens (0/36->3/36)",M27,A,Cluster-Size Scaling (delivers Paper #4's future-work item 1: offline-env fidelity),docs/PAPER5_M27_scaling_reframe.md
"Recalibrated-simulator re-run at N=7: original 3-seed pilot's 'clean, collapse-free' reading for both GAT-CTDE and single-agent DQN does NOT survive a properly-powered 12-seed resample -- GAT-CTDE now matches its own N=19 rate; single-agent DQN collapses in 50% of cells, directly contradicting the pilot",M27,A,Cluster-Size Scaling,docs/PAPER5_M27_scaling_reframe.md
"Live 2-gNB demo attempt: registration/build-load succeeds, but two simultaneous full live RF links under real sustained traffic could not be sustained -- a real hardware-capacity ceiling, not a fixable config mistake (ruled out CPU-affinity as the cause)",M28,A (feeds Limitations directly: 'multi-gNB LIVE' is the #3 promise this cannot honour),Limitations,docs/PAPER5_M27_M28_scope.md
"Live single-gNB anchor: offline-trained differentiated-shedding decision transfers to live traffic essentially unchanged, replicated across two independent runs (46/32, 45/32 mmtc-only blocks, matching offline 1.000 block precision)",M8,A,Live Single-gNB Anchor,docs/PAPER5_M8_live_anchor.md
"SLA-margin unit-mismatch diagnosis: live catastrophic margin (-1,002,377.5) traces to a concrete unit mismatch (offline-calibrated constant fed a live byte-count field 2-3 orders of magnitude larger); Little's-Law recalibration brings it to -809 to -1,187 (36-53s of real queueing delay vs a 45ms budget)",M8,A,Live Single-gNB Anchor (delivers Paper #4's future-work item 1),docs/PAPER5_M8_live_anchor.md parts 2-3
"Heavier live load (3 UE vs 6 UE): same frozen checkpoint goes from perfect block precision (1.000, all 20 episodes) to total, sustained collapse (undefined precision, zero blocks, all 20 episodes) -- a qualitative not quantitative change",M8,A,Live Single-gNB Anchor / Deployment Lessons,docs/PAPER5_M8_live_anchor.md (results-m8-load)
"Root cause of the 6-UE collapse: out-of-distribution congestion-feature extrapolation (offline never exceeds 0.03-0.09; live sits at 0.23-0.69), confirmed via direct 13-dim state-vector instrumentation AND an independent live ceiling-sweep showing served PRB flat against ratio",M8,A,Live Single-gNB Anchor,docs/PAPER5_M8_live_anchor.md (results-m8-fix)
"RealisticServedKpmSource recalibration (served PRB drawn from real 3UE/6UE anchors, mean-reverting interpolation) reverses the 6-UE collapse completely live (precision 1.000, zero collapsed episodes) -- delivers Paper #4's stated future-work item 1 in full",M8,A,Live Single-gNB Anchor (delivers Paper #4's future-work item 1),docs/PAPER5_M8_live_anchor.md (results-m8-fix)
"Bibliography authenticity audit: 38/38 citations (31 skeleton + 7 named prior-art) verified against CrossRef, 0 fabricated, 3 cosmetic key/year or author-order issues found and flagged",cross-cutting,A,Related Work citation integrity (pre-submission check, not a manuscript claim itself),docs/PAPER5_bib_audit.md
"M1-M4 one-command reproduction + independent-seed-replication scripts already exist and are documented with a full provenance table",cross-cutting,A,Reproducibility Statement (M49 should extend, not rebuild),docs/PAPER5_REPRODUCIBILITY.md
"Compliance metric structurally blind to DL starvation: a fully-starved slice reads dl_errors=0/dl_bler=0 (nothing attempted, nothing can fail), satisfying compliance regardless of real radio health",M43-P0,B,(Paper #6: evaluation-integrity/systems paper),experiments/results/m43/metric_provenance.md
"Scheduler-floor root cause: every config's ratio range converts to raw PRBs below the scheduler's hard min_rbSize=5 floor for urllc/mmtc, confirmed 3 independent ways (live sampling, source trace, config audit); fix (6x ratio rescale) live-confirmed for full 300s survival with zero RLC failures across the original empty S0/S1 envelope",M41,B,(Paper #6),docs/PAPER5_M41_envelope_sweep.md
"Config-floor integrity audit: urllc/mmtc broken (cap raw PRBs <5) in every config row audited with zero exceptions, including Paper #4's submitted N128 campaign and Fig.8's/M8's own pre-fix saclb_live.yaml",M42,B,(Paper #6),docs/PAPER5_M42_floor_audit.md
"Live reproduction under the actual submission-record config: 9266-11187 real max-RETX events over 600s; offline replay across all 28 actually-submitted seeds shows urllc/mmtc floor-pinned 100% of steps, deterministic not seed-dependent",M43-P1/P1B,B,(Paper #6),experiments/results/m43/p1_report.md; experiments/results/m43_p1b/p1b1_report.md
"Control-surface expressibility map: real per-slice demand thresholds to clear the scheduler floor found empirically (urllc 10x native/3Mbps, mmtc 50x native/2.5Mbps), scarcity genuinely reachable at full 106-PRB carrier",M44,B,(Paper #6),experiments/results/m44/gateA_report.md
"Priority-Weighted Correctness (PWC) metric + PWC_eq equal-weight variant + 4-way shed-classification (correct_shed/indiscriminate_failure/priority_inversion/no-shed-needed), validated against already-collected M44-E4 trajectory data",M45-PF1,B,(Paper #6),docs/PAPER5_M45_PF1_priority_weighted_correctness.md
"Train/eval consistency check for the single-gNB QoE-vs-SLA pilot: CONFOUNDED verdict -- below-floor training/eval ceiling ranges, congestion-regime mismatch with live, non-E4-resembling multi-slice coupling",M45-PF2-0,B,(Paper #6),docs/PAPER5_M45_PF2_train_eval_consistency.md
"Pre-registration + PF2-1a/b: embb's negative responsiveness sign confirmed; urllc's originally-predicted positive sign does NOT hold (also negative, a protect-by-reject signature); reject-decomposition shows DQN-SLA's success is serve-side (scheduler protects urllc regardless of ceiling), DQN-QoE's failure is admission-side and self-defeating",M45-PF21a/b,B,(Paper #6),docs/PAPER5_M45_PF21_preregistration.md; docs/PAPER5_M45_PF21a_embb_confirmation.md; docs/PAPER5_M45_PF21b_reject_decomposition.md
"Band-aligned training config (MR1) + offline retrain (MR2): 12/12 checkpoints exercise the full in-band action range, resolving the earlier below-floor training/live confound",M46-MR1/MR2,B,(Paper #6),docs/PAPER5_M46_MR1_config_band_alignment.md; docs/PAPER5_M46_MR2_offline_retrain.md
"Live trust-gate + control-path defect: missing send_control() call in RANEnv.reset() diagnosed and fixed (MR3b/MR3c); clean re-validation confirms 0.0% uncapped-in-clean-window across all checkpoints",M46-MR3/MR3b/MR3c,B,(Paper #6),docs/PAPER5_M46_MR3_live_trust_gate.md; MR3b; MR3c
"Responsiveness spec + reanalysis: direction-correct definition derived from reward accounting; shed-classification split (DQN-QoE=indiscriminate_failure, DQN-SLA=correct_shed) confirmed real and replicated across pre- and post-fix data",M46-MR4,B,(Paper #6),docs/PAPER5_M46_MR4_responsiveness_spec_and_reanalysis.md
"Checkpoint pool extended to 12/arm and fully live-trust-gated (12/12 pass); seed 261's live divergence (qoe/261 classifies correct_shed, unlike 11/12 other QoE seeds) characterized as seed-lottery, unexplainable from any offline training signal -- QoE's failure is probabilistic (~92% at n=12), not deterministic",M47-1 through M47-3-0,B,(Paper #6),docs/PAPER5_M47_*.md (1_static_at_cap, 2_0 through 2_3, 3_0)
"GATE PF2-1c: preliminary 5-arm powered campaign (n=6/arm, primary draw only, 30/30 runs) -- static-at-cap approx= DQN-SLA (n.s.), both beat DQN-QoE, static-at-floor discriminates strongly, lb_only correct-in-kind but lower PWC than both statics; independent-replication draw stopped at 5/30 by explicit decision, reported as unanswered not resolved favourably",M47-PF2-1c,B,(Paper #6),docs/PAPER5_M47_PF21c_gate_report.md; docs/PAPER5_M47_PF21c_plan_and_deviation.md
"Fig.8's live-anchor config (saclb_campaign.yaml) shares the identical sub-floor structural flaw M41 fixed; live-reverified to fail (urllc 100% loss, 19 max-RETX events) at what should be the published healthy '3UE' condition -- why the published Fig.8 numbers read healthy is NOT resolved",cross-cutting (M42-adjacent),B,(Paper #6) -- ALSO an open item for Paper #5's own Fig.8 numbers if left unresolved,docs/PAPER5_FIG8_validity_check.md
"Original (pre-collapse-discovery) M2 campaign numbers: compliance 0.399/0.115/0.049, paired +0.284 p<0.0001 27/0/3 wins -- rests on an undiagnosed architecture-level always-accept collapse, superseded in full by sections 11-14's corrected numbers",M2 sec 9,C,none -- historical record only, do not cite,docs/PAPER5_M2_gat_ctde.md sec 9 (superseded by secs 11-14)
"M6 Parts 1-9 individual small-sample collapse-rate point estimates (31%, 78%, 61.1%, 14.8%, 40.0% across successive samples) -- each an honest reading of a genuinely wide distribution, but individually superseded by the pooled 3-sample 35.4% [25.5%,45.8%] estimate",M6 parts 1-9,C,none -- historical record only (illustrates the 'no single small sample trusted alone' methodology point already made in the manuscript),docs/PAPER5_M6_topology.md
"M36/M37/M38's original interpretation of the 2/3-UE live RLC max-RETX instability as an unexplained rig fragility (governor/CPU-scheduling/race-condition hypotheses, all individually ruled out) -- superseded in full by M41's definitive root cause (config ratios below the scheduler's hard PRB floor)",M36-M38,C,none -- historical record only; the definitive explanation is M41 (Paper #6),docs/PAPER5_M36_congestion_characterization.md; docs/PAPER5_M37_M38_scoping.md (superseded by docs/PAPER5_M41_envelope_sweep.md)
"GATE S1's original conclusion ('the envelope is empty at every level tested' across cadence/load/magnitude/UE-count axes) -- superseded in full by the post-fix GATE S0/S1 re-run showing the envelope is full (6/6 conditions survive)",M41 (pre-fix),C,none -- historical record only,docs/PAPER5_M41_envelope_sweep.md (superseded within the same document)
"M1's specific backlog_capacity/drift/AR(1) grid-search APPROACH to closing the offline-live gap (as opposed to its rho=0.097 finding, which remains valid and cited) -- superseded as a strategy by M8/M27's real-measured-anchor recalibration approach, which is what actually worked",M1 (approach only),C,none -- the rho=0.097 finding itself stays (A); only the further-iterate-on-this-mechanism recommendation is superseded,docs/PAPER5_M1_recalibration.md (superseded methodologically by docs/PAPER5_M8_live_anchor.md and PAPER5_M27_scaling_reframe.md)
